iter	Passed	Remaining
0	58	25903
1	118	26227
2	189	27946
3	260	28795
4	315	27832
5	383	28142
6	447	28072
7	517	28320
8	584	28401
9	645	28154
10	768	30401
11	842	30461
12	925	30814
13	996	30748
14	1049	30143
15	1106	29742
16	1162	29336
17	1219	28991
18	1237	27821
19	1289	27456
20	1342	27172
21	1396	26918
22	1458	26815
23	1514	26622
24	1564	26347
25	1615	26101
26	1673	25972
27	1721	25698
28	1770	25464
29	1819	25233
30	1861	24921
31	1885	24397
32	1935	24217
33	1994	24172
34	2022	23751
35	2077	23657
36	2123	23476
37	2173	23336
38	2225	23226
39	2272	23069
40	2319	22910
41	2370	22797
42	2418	22668
43	2467	22544
44	2516	22425
45	2565	22308
46	2617	22221
47	2666	22113
48	2717	22014
49	2766	21909
50	2815	21806
51	2861	21680
52	2911	21591
53	2958	21479
54	3012	21416
55	3067	21362
56	3118	21283
57	3167	21192
58	3215	21093
59	3268	21025
60	3320	20959
61	3374	20899
62	3423	20812
63	3498	20879
64	3573	20943
65	3642	20973
66	3722	21059
67	3791	21076
68	3855	21064
69	3908	20994
70	3960	20915
71	4014	20854
72	4078	20841
73	4143	20830
74	4199	20775
75	4255	20716
76	4307	20642
77	4358	20565
78	4409	20486
79	4459	20403
80	4508	20313
81	4557	20232
82	4607	20150
83	4659	20080
84	4715	20028
85	4765	19947
86	4812	19859
87	4870	19814
88	4920	19736
89	4976	19686
90	5053	19715
91	5110	19664
92	5170	19627
93	5228	19579
94	5285	19527
95	5337	19460
96	5394	19409
97	5448	19347
98	5500	19280
99	5551	19207
100	5604	19143
101	5659	19086
102	5714	19028
103	5762	18948
104	5814	18882
105	5870	18828
106	5936	18809
107	5993	18756
108	6043	18683
109	6091	18607
110	6145	18547
111	6197	18480
112	6252	18424
113	6301	18351
114	6347	18270
115	6397	18199
